parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURUSD,221.82,2023-08-01 23:15:49.978950,23:15:50,NEUTRO,5.0,2.0,5.0,PUT,1.09889,1.09889
EURJPY,324.14,2023-08-01 23:15:49.978950,23:15:50,NEUTRO,4.0,2.0,2.0,CALL,157.4085,157.391
EURUSD,221.82,2023-08-01 23:16:50.141386,23:16:50,NEUTRO,2.0,0.0,5.0,CALL,1.09892,1.098885
EURJPY,324.14,2023-08-01 23:16:50.141386,23:16:50,ALTA,1.0,1.0,5.0,CALL,157.4025,157.408
EURGBP,275.24,2023-08-01 23:16:50.141386,23:16:50,NEUTRO,5.0,1.0,5.0,CALL,0.859975,0.85997
EURUSD,221.82,2023-08-01 23:17:50.275363,23:17:50,NEUTRO,5.0,4.0,1.0,CALL,1.098855,1.09891
EURJPY,324.14,2023-08-01 23:17:50.275363,23:17:50,ALTA,0.0,1.0,5.0,PUT,157.403,157.395
EURUSD,221.82,2023-08-01 23:18:49.405755,23:18:50,NEUTRO,0.0,4.0,5.0,CALL,1.09885,1.0989
EURJPY,324.14,2023-08-01 23:18:49.405755,23:18:50,NEUTRO,0.0,5.0,1.0,PUT,157.418,157.391
EURUSD,221.82,2023-08-01 23:19:49.569077,23:19:50,NEUTRO,5.0,0.0,0.0,CALL,1.098835,1.098855
EURJPY,324.14,2023-08-01 23:19:49.569077,23:19:50,NEUTRO,5.0,1.0,5.0,CALL,157.4065,157.416
EURUSD,221.82,2023-08-01 23:20:49.732473,23:20:50,NEUTRO,0.0,5.0,5.0,CALL,1.09885,1.098805
EURJPY,324.14,2023-08-01 23:20:49.732473,23:20:50,ALTA,0.0,2.0,1.0,PUT,157.3985,157.405
EURGBP,275.24,2023-08-01 23:20:49.732473,23:20:50,NEUTRO,0.0,0.0,0.0,CALL,0.859795,0.85989
EURJPY,324.14,2023-08-01 23:21:49.843807,23:21:50,NEUTRO,0.0,0.0,0.0,CALL,157.401,157.4
EURUSD,221.82,2023-08-01 23:22:50.050933,23:22:50,NEUTRO,5.0,5.0,1.0,PUT,1.0989,1.0989
EURJPY,324.14,2023-08-01 23:22:50.050933,23:22:50,NEUTRO,5.0,5.0,0.0,CALL,157.3855,157.399
EURUSD,221.82,2023-08-01 23:23:50.131793,23:23:50,NEUTRO,1.0,2.0,4.0,PUT,1.098845,1.09896
EURJPY,324.14,2023-08-01 23:23:50.131793,23:23:50,NEUTRO,0.0,1.0,5.0,CALL,157.3505,157.3885
EURUSD,221.82,2023-08-01 23:24:50.277998,23:24:50,ALTA,0.0,0.0,2.0,PUT,1.098885,1.098865
EURUSD,221.82,2023-08-01 23:25:49.411817,23:25:50,ALTA,0.0,0.0,0.0,PUT,1.098765,1.098875
EURJPY,324.14,2023-08-01 23:25:49.411817,23:25:50,NEUTRO,4.0,4.0,0.0,CALL,157.3725,157.3605
EURUSD,221.82,2023-08-01 23:26:49.647173,23:26:50,NEUTRO,2.0,2.0,0.0,PUT,1.098815,1.09883
EURJPY,324.14,2023-08-01 23:26:49.647173,23:26:50,ALTA,0.0,5.0,0.0,PUT,157.3935,157.3775
EURUSD,221.82,2023-08-01 23:27:49.782170,23:27:50,ALTA,1.0,5.0,4.0,PUT,1.09883,1.09881
EURJPY,324.14,2023-08-01 23:27:49.782170,23:27:50,NEUTRO,1.0,5.0,4.0,CALL,157.3885,157.393
EURJPY,324.14,2023-08-01 23:28:49.954069,23:28:50,NEUTRO,5.0,2.0,0.0,PUT,157.382,157.397
EURJPY,324.14,2023-08-01 23:29:49.994835,23:29:50,NEUTRO,0.0,4.0,0.0,PUT,157.37,157.384
EURUSD,276.65,2023-08-01 23:39:50.026084,23:39:50,NEUTRO,4.0,2.0,2.0,CALL,1.098725,1.098665
EURJPY,324.14,2023-08-01 23:39:50.026084,23:39:50,NEUTRO,1.0,4.0,2.0,PUT,157.3795,157.356
